Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Travel_Frequently,1014,Hardware,9,2,Technical Degree,1,142,3,Female,62,3,3,Sales Executive,3,Divorced,47385,1089855,3,Y,No,21,1,1,80,2,19,3,1,9,7,4,8
47,Yes,Travel_Rarely,1096,Sales,42,4,Life Sciences,1,143,2,Male,147,1,1,Research Scientist,4,Married,13659,273180,8,Y,Yes,48,4,3,80,3,10,3,2,4,1,1,1
48,No,Travel_Frequently,182,Support,3,4,Other,1,144,4,Male,88,4,2,Research Director,2,Divorced,18821,489346,3,Y,No,9,2,2,80,3,27,2,1,20,16,16,1
60,Yes,Travel_Rarely,925,Research & Development,21,4,Life Sciences,1,145,2,Male,66,4,2,Manufacturing Director,4,Divorced,9974,19948,1,Y,Yes,29,2,2,80,1,8,5,1,3,1,3,3
22,Yes,Travel_Rarely,1307,Hardware,35,2,Life Sciences,1,146,1,Male,126,3,3,Research Director,1,Single,17192,240688,3,Y,No,34,4,2,80,2,6,6,4,3,3,1,2
42,No,Travel_Rarely,1457,Research & Development,36,2,Life Sciences,1,147,3,Male,126,1,3,Research Director,2,Single,23612,708360,8,Y,Yes,37,2,1,80,1,6,5,1,3,1,2,3
48,No,Travel_Frequently,1457,Support,46,5,Human Resources,1,148,3,Male,116,3,3,Laboratory Technician,2,Divorced,36178,470314,4,Y,Yes,47,2,1,80,2,5,4,2,4,1,4,4
21,Yes,Non-Travel,1464,Research & Development,47,4,Life Sciences,1,149,3,Female,192,1,4,Developer,3,Married,48751,1462530,2,Y,Yes,28,4,1,80,1,24,4,4,9,3,6,2
35,Yes,Non-Travel,1289,Hardware,13,4,Other,1,150,2,Male,102,1,3,Manufacturing Director,1,Single,10224,296496,2,Y,Yes,11,2,2,80,1,7,4,3,6,6,1,6
39,No,Travel_Frequently,547,Sales,38,3,Other,1,151,1,Female,116,4,1,Manufacturing Director,4,Married,34604,380644,5,Y,No,32,2,1,80,2,34,3,2,4,2,3,4
38,No,Travel_Rarely,1445,Software,37,1,Medical,1,152,1,Female,132,3,4,Human Resources,1,Divorced,21443,471746,0,Y,No,13,2,3,80,1,35,6,4,3,2,2,1
21,No,Non-Travel,1184,Human Resources,22,5,Medical,1,153,1,Male,107,2,1,Research Director,2,Married,25821,154926,8,Y,Yes,20,2,3,80,2,2,3,4,2,1,2,1
56,No,Non-Travel,959,Human Resources,36,4,Marketing,1,154,4,Female,84,2,4,Laboratory Technician,3,Single,49696,496960,7,Y,Yes,19,2,4,80,3,12,6,3,6,4,4,4
57,Yes,Travel_Rarely,998,Research & Development,11,5,Technical Degree,1,155,1,Male,146,1,2,Sales Executive,4,Married,46840,1311520,6,Y,No,38,1,3,80,3,26,4,2,9,5,4,7
41,No,Non-Travel,103,Research & Development,6,1,Technical Degree,1,156,4,Female,146,1,3,Research Director,4,Divorced,33010,198060,8,Y,Yes,22,3,2,80,1,3,4,1,1,1,1,1
34,Yes,Travel_Frequently,597,Sales,31,1,Medical,1,157,1,Male,106,1,1,Research Scientist,3,Divorced,41120,452320,8,Y,No,37,1,2,80,2,25,4,4,20,9,7,19
59,No,Travel_Rarely,601,Support,40,3,Marketing,1,158,4,Male,102,2,1,Research Scientist,4,Married,18050,18050,8,Y,Yes,23,1,3,80,3,8,1,2,6,4,6,5
59,Yes,Travel_Rarely,849,Hardware,46,3,Technical Degree,1,159,3,Male,144,3,5,Human Resources,3,Married,38698,232188,2,Y,No,42,4,4,80,4,35,5,3,6,4,4,2
45,No,Non-Travel,731,Sales,6,5,Medical,1,160,4,Female,107,2,5,Human Resources,1,Single,42801,556413,4,Y,No,37,1,3,80,1,26,1,1,9,9,8,4
58,No,Travel_Rarely,215,Software,5,2,Other,1,161,2,Male,41,4,3,Sales Representative,3,Single,37994,683892,0,Y,Yes,28,3,3,80,1,19,4,3,12,6,7,4
43,Yes,Non-Travel,1377,Software,41,5,Other,1,162,3,Male,183,4,3,Research Director,1,Single,6178,18534,4,Y,Yes,24,2,2,80,3,1,1,3,1,1,1,1
29,No,Non-Travel,359,Hardware,43,4,Human Resources,1,163,1,Female,32,1,4,Manager,4,Divorced,50324,1459396,4,Y,Yes,31,2,4,80,2,38,4,3,17,2,7,16
54,No,Non-Travel,224,Human Resources,34,3,Life Sciences,1,164,2,Female,160,3,3,Research Scientist,1,Single,41730,1210170,3,Y,Yes,12,4,3,80,4,40,6,3,29,29,4,13
40,Yes,Non-Travel,519,Hardware,19,1,Technical Degree,1,165,4,Male,32,2,4,Sales Executive,4,Single,18037,234481,2,Y,No,10,3,4,80,3,20,3,3,14,6,2,2
40,Yes,Travel_Rarely,663,Hardware,41,4,Medical,1,166,3,Male,119,2,2,Sales Representative,1,Married,25135,201080,8,Y,Yes,4,2,1,80,4,4,3,4,3,2,1,1
48,Yes,Travel_Rarely,756,Human Resources,16,5,Medical,1,167,1,Male,31,4,3,Research Director,4,Single,29725,416150,7,Y,No,34,2,1,80,1,35,2,3,8,7,3,3
56,No,Travel_Frequently,701,Hardware,15,5,Marketing,1,168,1,Male,84,4,4,Research Scientist,2,Married,7674,230220,8,Y,No,40,1,3,80,1,29,3,1,29,20,22,20
31,No,Travel_Rarely,895,Hardware,44,1,Life Sciences,1,169,4,Male,31,1,1,Laboratory Technician,3,Divorced,18441,221292,2,Y,Yes,33,3,2,80,4,21,1,4,5,3,1,2
58,Yes,Non-Travel,347,Software,38,3,Human Resources,1,170,2,Female,116,2,4,Research Scientist,4,Single,30364,576916,4,Y,Yes,41,4,3,80,1,39,6,4,21,18,21,10
52,Yes,Non-Travel,541,Hardware,2,4,Human Resources,1,171,4,Female,160,4,5,Research Scientist,2,Divorced,41363,124089,6,Y,Yes,7,1,1,80,4,37,3,3,35,20,25,19
51,No,Travel_Rarely,464,Support,47,3,Marketing,1,172,1,Male,149,1,3,Laboratory Technician,2,Single,35945,862680,8,Y,Yes,30,1,2,80,4,32,2,3,31,25,14,24
48,No,Travel_Rarely,308,Research & Development,17,5,Life Sciences,1,173,4,Female,103,1,4,Human Resources,1,Single,1839,20229,1,Y,No,7,1,2,80,1,20,4,1,16,7,14,9
19,No,Non-Travel,1462,Sales,11,3,Medical,1,174,1,Female,141,1,3,Manufacturing Director,1,Divorced,8408,117712,1,Y,Yes,34,2,3,80,1,21,2,2,1,1,1,1
55,No,Travel_Rarely,538,Support,35,2,Human Resources,1,175,4,Male,112,2,4,Research Director,1,Divorced,37251,1005777,4,Y,No,2,3,4,80,1,19,5,4,6,2,2,1
47,Yes,Travel_Rarely,713,Human Resources,8,3,Other,1,176,3,Female,126,2,2,Manufacturing Director,1,Married,32250,903000,4,Y,No,32,4,1,80,2,1,3,4,1,1,1,1
31,No,Travel_Frequently,1134,Sales,19,5,Human Resources,1,177,1,Male,75,2,3,Sales Representative,1,Single,8643,155574,1,Y,Yes,43,4,3,80,3,6,3,2,2,1,1,1
60,No,Non-Travel,579,Research & Development,49,3,Medical,1,178,4,Female,144,3,2,Developer,3,Single,26136,156816,3,Y,Yes,35,1,2,80,3,22,4,4,18,9,4,16
59,Yes,Non-Travel,903,Sales,33,1,Other,1,179,3,Male,34,3,3,Human Resources,2,Single,40540,810800,0,Y,No,32,2,3,80,2,9,4,1,7,4,6,5
18,No,Travel_Frequently,1416,Support,33,1,Marketing,1,180,3,Female,55,3,5,Human Resources,3,Divorced,18170,18170,0,Y,Yes,31,1,4,80,1,19,2,1,14,10,3,3
31,No,Non-Travel,731,Support,20,3,Technical Degree,1,181,4,Male,73,4,1,Manufacturing Director,1,Single,21896,569296,0,Y,Yes,6,3,2,80,3,25,4,1,4,3,1,4
32,No,Travel_Frequently,552,Sales,15,5,Marketing,1,182,2,Male,169,4,5,Manager,3,Divorced,42454,891534,0,Y,Yes,4,1,3,80,1,20,1,2,8,7,3,2
42,No,Travel_Rarely,1271,Support,49,3,Medical,1,183,1,Male,148,1,1,Developer,3,Married,41621,166484,6,Y,Yes,6,3,3,80,1,28,3,2,9,7,3,3
53,Yes,Travel_Frequently,319,Software,41,3,Human Resources,1,184,3,Male,31,4,3,Research Director,2,Married,49121,1129783,8,Y,Yes,3,3,4,80,4,17,1,3,9,8,8,1
58,No,Travel_Frequently,176,Sales,35,5,Other,1,185,4,Male,87,1,3,Human Resources,1,Divorced,44610,802980,2,Y,Yes,26,2,2,80,4,27,6,3,3,3,1,3
33,No,Travel_Rarely,603,Software,1,5,Technical Degree,1,186,3,Female,156,1,3,Developer,3,Married,32532,910896,2,Y,No,17,1,2,80,3,14,1,2,8,5,5,7
59,No,Travel_Frequently,1264,Research & Development,29,5,Marketing,1,187,1,Male,78,2,1,Developer,4,Single,6715,114155,1,Y,No,25,4,1,80,4,31,6,3,3,1,3,3
32,Yes,Travel_Rarely,719,Software,35,3,Marketing,1,188,1,Male,196,3,5,Laboratory Technician,4,Single,44827,1120675,0,Y,No,33,3,2,80,2,21,5,1,6,6,3,4
32,No,Travel_Frequently,736,Research & Development,40,3,Marketing,1,189,4,Female,82,4,1,Research Director,4,Divorced,39611,911053,8,Y,No,30,1,4,80,2,36,1,4,25,7,12,21
53,No,Travel_Frequently,766,Sales,13,3,Medical,1,190,4,Female,131,3,4,Laboratory Technician,1,Divorced,24514,465766,1,Y,No,42,3,3,80,1,39,3,3,37,30,32,29
37,No,Travel_Rarely,1341,Software,39,5,Technical Degree,1,191,4,Female,96,1,1,Research Director,2,Married,48966,538626,5,Y,No,42,1,3,80,4,28,3,4,19,7,14,14
58,Yes,Non-Travel,1372,Human Resources,8,4,Medical,1,192,2,Female,102,2,4,Sales Executive,4,Single,32286,548862,5,Y,No,46,1,2,80,3,3,3,3,3,1,1,3
42,Yes,Travel_Frequently,701,Hardware,4,1,Technical Degree,1,193,2,Female,156,3,4,Manager,3,Married,31884,510144,3,Y,Yes,30,4,1,80,3,12,4,1,4,2,1,2
60,Yes,Travel_Frequently,1074,Human Resources,4,2,Marketing,1,194,1,Male,97,1,1,Laboratory Technician,4,Divorced,48746,633698,7,Y,Yes,23,2,2,80,3,24,6,2,21,8,13,14
29,No,Travel_Rarely,1202,Sales,2,3,Medical,1,195,4,Female,187,3,1,Developer,4,Divorced,12034,12034,7,Y,Yes,29,1,1,80,4,10,6,4,7,5,4,1
23,No,Non-Travel,760,Research & Development,19,1,Medical,1,196,3,Female,155,2,1,Research Director,1,Divorced,1242,19872,1,Y,Yes,49,1,2,80,2,25,3,1,4,4,3,4
57,No,Travel_Frequently,957,Human Resources,31,2,Technical Degree,1,197,1,Male,57,4,5,Developer,1,Divorced,23415,351225,0,Y,No,24,2,3,80,1,4,6,1,3,1,2,1
52,Yes,Travel_Rarely,1104,Software,33,4,Other,1,198,4,Male,140,3,3,Developer,3,Divorced,49486,148458,4,Y,No,34,2,2,80,4,18,3,1,5,1,2,5
27,Yes,Travel_Rarely,1343,Research & Development,46,3,Life Sciences,1,199,2,Female,192,4,2,Healthcare Representative,3,Single,16192,291456,4,Y,No,18,1,3,80,3,4,3,1,3,3,2,2
18,Yes,Travel_Rarely,315,Research & Development,19,3,Other,1,200,4,Female,36,4,3,Sales Representative,4,Divorced,22150,287950,6,Y,No,36,2,4,80,3,37,2,1,37,5,4,27
39,No,Travel_Rarely,1122,Research & Development,16,2,Human Resources,1,201,2,Female,113,1,1,Healthcare Representative,3,Divorced,20537,554499,6,Y,Yes,12,2,2,80,1,27,2,4,19,16,16,4
37,Yes,Travel_Frequently,1265,Human Resources,25,3,Life Sciences,1,202,4,Male,57,1,5,Healthcare Representative,2,Married,9129,27387,4,Y,Yes,35,2,4,80,2,33,2,1,9,6,6,6
22,No,Non-Travel,755,Research & Development,15,4,Other,1,203,1,Female,150,2,1,Healthcare Representative,4,Single,16919,473732,2,Y,No,39,3,1,80,1,23,2,4,8,5,8,3
53,No,Travel_Rarely,973,Software,4,2,Marketing,1,204,2,Male,62,3,4,Manufacturing Director,3,Single,26649,239841,3,Y,Yes,6,4,1,80,4,38,1,4,16,11,7,6
56,No,Travel_Frequently,212,Hardware,13,5,Medical,1,205,2,Female,145,3,3,Healthcare Representative,2,Divorced,23773,332822,5,Y,Yes,24,4,3,80,2,2,2,4,2,2,2,1
19,No,Travel_Frequently,238,Human Resources,50,3,Medical,1,206,3,Female,65,4,5,Human Resources,4,Divorced,34923,488922,2,Y,Yes,1,2,3,80,4,12,2,2,7,5,1,3
19,Yes,Travel_Frequently,581,Hardware,46,2,Medical,1,207,2,Male,183,1,3,Research Scientist,1,Single,25991,363874,1,Y,Yes,34,1,2,80,3,21,6,3,4,1,4,4
54,No,Travel_Rarely,1497,Hardware,19,1,Human Resources,1,208,4,Male,34,2,1,Research Scientist,1,Married,50525,1414700,0,Y,Yes,48,4,1,80,4,12,6,2,3,2,3,2
34,Yes,Travel_Rarely,485,Support,16,3,Medical,1,209,1,Male,140,1,2,Human Resources,4,Single,30176,30176,7,Y,No,9,2,4,80,3,11,4,3,5,1,5,3
41,No,Travel_Rarely,1172,Research & Development,13,1,Life Sciences,1,210,2,Male,177,2,3,Manager,1,Divorced,8187,188301,0,Y,No,7,2,3,80,1,8,6,2,3,1,2,2
19,Yes,Travel_Frequently,1119,Hardware,4,5,Human Resources,1,211,2,Female,78,1,2,Laboratory Technician,4,Divorced,45078,405702,3,Y,No,25,3,4,80,2,19,2,2,18,11,8,16
37,Yes,Non-Travel,1337,Sales,32,5,Human Resources,1,212,2,Male,169,1,5,Sales Representative,2,Married,39187,666179,1,Y,No,25,3,1,80,2,32,2,1,8,2,3,5
24,No,Travel_Frequently,404,Sales,48,2,Human Resources,1,213,1,Male,108,1,1,Research Scientist,2,Divorced,48179,1108117,7,Y,Yes,37,2,4,80,3,12,1,3,2,1,2,1
26,No,Travel_Rarely,1416,Hardware,6,1,Medical,1,214,4,Male,132,3,3,Human Resources,2,Divorced,46035,552420,2,Y,No,27,2,2,80,4,14,1,2,5,3,2,4
21,No,Travel_Frequently,571,Sales,28,4,Other,1,215,3,Female,99,1,1,Sales Executive,3,Married,11835,130185,6,Y,Yes,49,1,4,80,3,5,1,4,4,2,1,1
41,No,Travel_Frequently,1055,Sales,18,4,Human Resources,1,216,2,Female,34,2,1,Sales Executive,3,Single,15629,328209,2,Y,No,38,1,2,80,4,13,3,4,8,1,4,4
53,No,Travel_Rarely,575,Sales,25,4,Medical,1,217,2,Male,159,2,2,Research Scientist,3,Married,24935,423895,0,Y,No,16,2,3,80,2,40,4,3,1,1,1,1
51,No,Non-Travel,815,Sales,24,5,Marketing,1,218,2,Female,59,1,5,Human Resources,2,Divorced,25585,127925,0,Y,No,43,3,3,80,2,4,2,1,1,1,1,1
29,Yes,Travel_Frequently,1152,Research & Development,49,5,Marketing,1,219,4,Male,151,2,5,Manager,4,Divorced,8498,237944,5,Y,No,7,3,1,80,3,37,3,2,4,3,2,3
21,Yes,Travel_Frequently,279,Support,49,5,Other,1,220,3,Female,78,2,4,Laboratory Technician,3,Married,10903,152642,3,Y,Yes,39,1,4,80,1,1,1,4,1,1,1,1
30,Yes,Non-Travel,220,Sales,14,3,Life Sciences,1,221,2,Female,98,1,4,Research Director,3,Divorced,36160,578560,8,Y,Yes,16,3,3,80,4,19,5,1,6,5,3,2
38,No,Travel_Rarely,551,Human Resources,39,3,Other,1,222,2,Male,152,1,2,Manufacturing Director,2,Married,20688,62064,1,Y,No,27,2,4,80,2,18,6,1,14,4,1,11
22,No,Travel_Rarely,136,Software,11,4,Marketing,1,223,1,Female,163,1,5,Manufacturing Director,3,Single,32976,296784,6,Y,Yes,15,2,4,80,1,3,5,2,1,1,1,1
20,Yes,Travel_Frequently,229,Software,13,5,Life Sciences,1,224,1,Female,135,4,2,Sales Executive,4,Divorced,7086,177150,5,Y,Yes,16,2,1,80,1,20,1,4,1,1,1,1
49,No,Travel_Frequently,1008,Support,20,1,Human Resources,1,225,3,Male,99,3,2,Laboratory Technician,3,Single,38481,1115949,5,Y,Yes,11,2,2,80,4,25,3,2,4,3,1,3
53,No,Travel_Frequently,933,Research & Development,45,2,Other,1,226,4,Male,45,1,5,Sales Executive,3,Divorced,1141,14833,4,Y,No,18,4,1,80,2,26,4,4,16,7,7,15
33,No,Travel_Rarely,868,Human Resources,7,4,Human Resources,1,227,1,Male,187,4,4,Sales Representative,1,Single,32447,843622,3,Y,Yes,33,4,3,80,2,26,2,3,11,1,10,6
36,Yes,Travel_Rarely,975,Sales,25,3,Other,1,228,1,Female,193,3,3,Healthcare Representative,3,Married,42749,598486,1,Y,No,28,1,1,80,4,23,1,1,21,14,10,9
60,Yes,Non-Travel,1431,Human Resources,29,3,Marketing,1,229,3,Female,53,1,1,Manufacturing Director,1,Single,34274,445562,2,Y,No,31,3,1,80,3,36,1,1,11,8,1,1
60,Yes,Non-Travel,935,Hardware,6,1,Life Sciences,1,230,1,Female,119,3,1,Manager,3,Married,44405,1243340,3,Y,Yes,30,4,3,80,4,33,3,1,10,3,2,10
53,Yes,Travel_Frequently,308,Software,30,5,Life Sciences,1,231,4,Male,193,1,2,Developer,2,Divorced,49449,247245,0,Y,No,43,3,4,80,1,2,4,3,1,1,1,1
45,No,Travel_Frequently,454,Support,17,3,Medical,1,232,4,Male,174,4,3,Healthcare Representative,4,Single,30925,432950,8,Y,No,20,4,2,80,1,3,4,4,1,1,1,1
60,Yes,Travel_Frequently,1333,Research & Development,8,3,Technical Degree,1,233,4,Female,146,1,1,Laboratory Technician,1,Married,49013,147039,4,Y,Yes,27,1,3,80,2,14,1,4,1,1,1,1
23,No,Travel_Rarely,889,Research & Development,22,2,Medical,1,234,4,Female,104,1,1,Manager,3,Married,9830,147450,8,Y,No,5,3,1,80,1,4,4,4,2,1,1,2
44,No,Non-Travel,743,Software,31,4,Medical,1,235,2,Female,73,1,2,Human Resources,1,Married,30475,639975,0,Y,No,49,3,2,80,1,26,6,1,12,4,11,5
26,No,Travel_Frequently,843,Human Resources,30,1,Technical Degree,1,236,1,Male,103,1,2,Sales Executive,2,Divorced,39582,910386,4,Y,Yes,33,3,3,80,3,39,3,3,6,3,3,4
45,Yes,Travel_Frequently,1191,Software,30,5,Technical Degree,1,237,4,Male,129,3,4,Developer,4,Married,21110,189990,0,Y,Yes,48,1,3,80,2,38,2,2,13,3,1,1
30,No,Travel_Rarely,1327,Sales,8,5,Life Sciences,1,238,3,Female,128,1,1,Research Scientist,3,Divorced,25365,684855,4,Y,No,47,1,1,80,2,28,4,4,5,3,3,4
39,Yes,Travel_Frequently,831,Research & Development,49,5,Life Sciences,1,239,1,Male,36,1,2,Developer,1,Single,47069,470690,1,Y,No,34,3,4,80,2,30,5,2,11,1,4,7
37,No,Non-Travel,1262,Sales,28,5,Marketing,1,240,4,Male,149,1,1,Research Scientist,1,Divorced,34584,276672,8,Y,Yes,42,2,4,80,4,28,2,3,25,13,4,6
52,Yes,Travel_Frequently,336,Support,48,1,Technical Degree,1,241,3,Female,148,1,3,Research Director,4,Divorced,4260,68160,3,Y,No,31,3,4,80,4,8,5,3,7,2,2,3
30,Yes,Travel_Frequently,767,Hardware,31,3,Life Sciences,1,242,3,Male,91,3,5,Healthcare Representative,3,Married,36785,919625,5,Y,No,0,3,1,80,1,20,3,2,15,6,9,4
44,No,Non-Travel,1012,Sales,45,4,Human Resources,1,243,2,Male,188,3,5,Developer,3,Divorced,29414,352968,5,Y,No,30,2,1,80,4,29,1,4,17,14,3,5
50,No,Non-Travel,651,Support,12,1,Other,1,244,3,Female,195,1,5,Research Scientist,2,Single,35168,879200,2,Y,No,41,1,4,80,4,32,3,1,25,10,2,2
48,Yes,Travel_Frequently,1141,Sales,43,2,Medical,1,245,4,Female,100,3,2,Manager,1,Single,32286,452004,4,Y,Yes,3,2,4,80,2,30,3,3,26,12,8,24
58,Yes,Non-Travel,860,Research & Development,16,2,Other,1,246,4,Female,115,2,3,Sales Representative,3,Single,19403,97015,3,Y,No,2,3,2,80,4,30,5,4,23,5,13,11
34,No,Travel_Rarely,855,Human Resources,48,3,Life Sciences,1,247,3,Male,156,2,2,Manufacturing Director,4,Married,12432,12432,5,Y,No,4,4,3,80,3,17,2,4,9,4,4,8
55,Yes,Non-Travel,981,Human Resources,9,2,Other,1,248,4,Female,135,3,4,Sales Representative,2,Single,31906,861462,1,Y,No,4,1,1,80,4,32,3,4,4,2,1,4
32,Yes,Non-Travel,938,Research & Development,28,5,Marketing,1,249,3,Female,40,1,3,Healthcare Representative,2,Married,46483,418347,7,Y,No,45,2,2,80,2,26,5,2,8,3,5,7
43,Yes,Travel_Rarely,673,Human Resources,8,3,Human Resources,1,250,3,Male,175,2,5,Sales Executive,1,Divorced,2293,45860,3,Y,No,45,3,4,80,4,1,2,1,1,1,1,1
46,No,Travel_Rarely,967,Software,22,1,Other,1,251,2,Male,122,3,5,Human Resources,2,Single,44375,665625,6,Y,No,0,3,4,80,1,36,4,1,9,7,2,5
39,Yes,Travel_Frequently,1016,Software,17,3,Life Sciences,1,252,2,Male,40,4,3,Sales Executive,1,Single,17177,480956,4,Y,No,2,3,4,80,2,10,3,4,1,1,1,1
32,Yes,Non-Travel,1106,Sales,13,1,Marketing,1,253,4,Male,127,2,3,Manufacturing Director,3,Married,35456,390016,0,Y,Yes,24,1,1,80,4,19,4,3,2,1,2,2
55,No,Non-Travel,1138,Research & Development,48,5,Medical,1,254,4,Female,116,4,3,Sales Executive,4,Single,5009,80144,3,Y,Yes,2,1,4,80,1,23,5,1,6,3,6,4
28,No,Travel_Rarely,1042,Hardware,38,3,Marketing,1,255,1,Male,189,1,1,Developer,4,Single,7917,15834,5,Y,No,4,3,3,80,4,11,6,1,4,1,3,3
26,Yes,Travel_Rarely,236,Support,12,3,Other,1,256,1,Female,31,4,5,Manager,2,Single,28138,478346,3,Y,Yes,31,2,1,80,2,7,2,4,2,2,2,1
20,Yes,Non-Travel,1092,Research & Development,40,1,Other,1,257,3,Female,101,4,3,Manager,1,Single,37473,149892,8,Y,Yes,26,2,2,80,2,1,2,4,1,1,1,1
42,Yes,Travel_Rarely,1435,Software,17,4,Other,1,258,2,Female,64,1,1,Healthcare Representative,1,Married,36799,735980,4,Y,No,8,1,2,80,1,24,6,1,13,10,5,11
34,No,Travel_Rarely,1064,Support,8,3,Human Resources,1,259,3,Male,133,3,5,Manager,4,Divorced,3752,97552,4,Y,No,8,3,3,80,3,39,6,2,24,1,9,3
36,Yes,Travel_Frequently,297,Support,20,1,Marketing,1,260,3,Female,184,1,4,Manufacturing Director,2,Married,2188,35008,8,Y,No,9,2,3,80,4,23,6,1,8,1,1,1
52,No,Travel_Rarely,1194,Research & Development,24,1,Medical,1,261,2,Male,162,2,4,Manager,1,Married,5302,10604,8,Y,No,12,4,1,80,1,40,4,2,23,12,11,23
19,Yes,Travel_Frequently,1338,Human Resources,36,1,Human Resources,1,262,2,Female,180,3,3,Sales Executive,4,Married,8331,224937,0,Y,Yes,15,1,3,80,1,9,5,4,9,4,9,1
56,Yes,Travel_Frequently,1462,Software,41,5,Technical Degree,1,263,1,Female,52,4,3,Research Director,2,Married,46683,233415,5,Y,No,0,3,2,80,2,2,5,1,1,1,1,1
60,Yes,Travel_Rarely,1250,Human Resources,50,3,Medical,1,264,4,Female,151,4,4,Healthcare Representative,3,Single,44937,584181,5,Y,Yes,28,1,1,80,3,16,4,4,2,2,1,1
35,Yes,Travel_Frequently,1487,Hardware,7,4,Other,1,265,2,Female,188,2,5,Healthcare Representative,4,Married,33555,167775,7,Y,No,34,3,3,80,1,4,6,1,1,1,1,1
37,No,Non-Travel,1102,Support,32,2,Human Resources,1,266,2,Female,126,4,3,Healthcare Representative,2,Divorced,5904,76752,8,Y,No,1,4,3,80,4,12,2,2,4,4,2,1
24,Yes,Non-Travel,813,Research & Development,47,4,Medical,1,267,4,Male,32,3,5,Healthcare Representative,1,Divorced,24219,678132,7,Y,Yes,5,1,2,80,1,40,2,3,2,1,2,2
43,No,Travel_Frequently,904,Software,44,1,Life Sciences,1,268,3,Female,179,2,2,Human Resources,1,Single,10682,309778,4,Y,Yes,22,1,3,80,3,24,1,2,13,12,13,11
18,Yes,Travel_Frequently,1099,Hardware,27,1,Life Sciences,1,269,1,Male,198,2,5,Manager,2,Married,48537,873666,3,Y,Yes,10,3,4,80,4,13,6,2,8,7,2,8
52,No,Travel_Rarely,307,Human Resources,13,3,Human Resources,1,270,2,Male,111,2,3,Developer,2,Divorced,28173,704325,2,Y,Yes,44,4,3,80,4,30,2,3,2,1,2,1
45,Yes,Travel_Frequently,894,Human Resources,17,5,Technical Degree,1,271,3,Female,198,3,5,Manager,1,Single,17670,247380,5,Y,No,46,4,4,80,4,21,2,2,2,2,1,2
47,Yes,Travel_Frequently,142,Software,27,4,Life Sciences,1,272,3,Male,122,2,1,Research Scientist,2,Divorced,45365,362920,1,Y,Yes,1,2,3,80,3,18,5,3,7,7,3,6
25,Yes,Non-Travel,643,Research & Development,2,4,Other,1,273,1,Male,159,2,3,Sales Executive,1,Single,10583,116413,2,Y,No,15,3,2,80,4,19,1,1,9,1,6,8
45,No,Non-Travel,1247,Research & Development,8,4,Life Sciences,1,274,3,Female,96,3,3,Sales Executive,4,Divorced,35365,990220,2,Y,Yes,11,1,3,80,1,39,5,2,23,17,20,20
42,Yes,Travel_Rarely,887,Support,5,3,Human Resources,1,275,4,Female,123,3,5,Developer,4,Married,35734,464542,2,Y,No,17,3,2,80,2,33,4,4,18,16,3,14
45,Yes,Travel_Rarely,190,Human Resources,38,5,Medical,1,276,1,Male,42,3,5,Sales Representative,3,Single,42050,883050,7,Y,No,40,3,4,80,1,9,4,1,7,2,7,6
20,Yes,Non-Travel,796,Software,16,1,Marketing,1,277,3,Male,192,2,2,Human Resources,2,Divorced,28906,578120,8,Y,No,32,4,4,80,2,2,3,3,2,2,2,1
40,No,Non-Travel,1467,Software,25,5,Medical,1,278,1,Male,70,3,4,Research Director,2,Married,10996,32988,3,Y,No,3,2,3,80,2,25,2,1,23,16,9,4
52,No,Travel_Frequently,328,Software,32,5,Human Resources,1,279,3,Female,163,4,2,Sales Executive,3,Single,10600,31800,5,Y,Yes,11,4,3,80,4,39,1,3,4,4,4,3
19,Yes,Non-Travel,229,Research & Development,8,3,Other,1,280,2,Male,158,2,3,Laboratory Technician,2,Single,8888,195536,3,Y,Yes,38,2,3,80,2,2,2,2,1,1,1,1
20,No,Non-Travel,1221,Support,30,3,Life Sciences,1,281,1,Female,130,3,1,Healthcare Representative,2,Single,38941,1168230,7,Y,Yes,19,4,3,80,3,7,2,4,7,7,7,5
30,Yes,Travel_Frequently,661,Software,8,2,Technical Degree,1,282,4,Female,197,4,4,Research Director,4,Divorced,36093,1046697,4,Y,Yes,22,2,1,80,4,25,4,2,7,2,6,6
19,No,Non-Travel,1017,Support,45,3,Marketing,1,283,2,Male,94,4,3,Research Director,1,Married,6533,150259,0,Y,Yes,22,2,1,80,4,23,1,4,6,5,3,6
30,No,Travel_Rarely,960,Hardware,5,5,Human Resources,1,284,4,Male,165,4,1,Research Scientist,1,Single,49587,99174,6,Y,No,31,2,3,80,2,38,4,2,23,10,1,8
43,No,Non-Travel,1250,Sales,49,4,Other,1,285,2,Female,144,1,1,Sales Representative,2,Divorced,42187,42187,8,Y,Yes,35,4,2,80,3,39,1,1,26,7,15,7
